category_sk,category_id,category_code
1,2053013551865397438,sport.trainer
2,2053013551882174655,construction.tools.welding
3,2053013551890563264,sport.ski
4,2053013551898951873,construction.tools.light
5,2053013551907340482,sport.ski
6,2053013551924117699,sport.ski
7,2053013551932506308,construction.tools.drill
8,2053013551940894917,computers.desktop
9,2053013551957672134,
10,2053013551966060743,kids.carriage
11,2053013552058335434,appliances.kitchen.meat_grinder
12,2053013552075112651,
13,2053013552125444301,appliances.environment.vacuum
14,2053013552167387343,appliances.environment.climate
15,2053013552192553169,
16,2053013552226107603,appliances.environment.fan
17,2053013552259662037,computers.components.power_supply
18,2053013552259662037,
19,2053013552293216471,appliances.environment.air_heater
20,2053013552326770905,appliances.environment.water_heater
21,2053013552351936731,appliances.environment.air_conditioner
22,2053013552385491165,appliances.sewing_machine
23,2053013552385491165,
24,2053013552427434207,apparel.shirt
25,2053013552427434207,
26,2053013552452600032,appliances.personal.scales
27,2053013552469377249,apparel.jeans
28,2053013552469377249,
29,2053013552502931683,computers.peripherals.camera
30,2053013552570040549,electronics.video.projector
31,2053013552603594983,electronics.video.tv
32,2053013552637149417,computers.peripherals.mouse
33,2053013552662315243,apparel.shoes.slipons
34,2053013552662315243,
35,2053013552695869677,electronics.tablet
36,2053013552737812719,stationery.cartrige
37,2053013552788144369,auto.accessories.parktronic
38,2053013552788144369,
39,2053013552821698803,computers.peripherals.mouse
40,2053013552821698803,
41,2053013552863641845,appliances.environment.fan
42,2053013552863641845,
43,2053013552888807671,computers.peripherals.mouse
44,2053013552913973497,computers.peripherals.keyboard
45,2053013552955916539,computers.peripherals.printer
46,2053013552989470973,computers.ebooks
47,2053013552989470973,
48,2053013553031414015,computers.peripherals.monitor
49,2053013553056579841,computers.peripherals.printer
50,2053013553090134275,kids.toys
51,2053013553098522884,kids.toys
52,2053013553115300101,
53,2053013553140465927,kids.toys
54,2053013553165631753,kids.toys
55,2053013553165631753,
56,2053013553199186187,
57,2053013553224352013,kids.dolls
58,2053013553257906447,kids.toys
59,2053013553283072273,apparel.sock
60,2053013553283072273,
61,2053013553316626707,computers.ebooks
62,2053013553325015316,appliances.kitchen.toster
63,2053013553341792533,electronics.clocks
64,2053013553375346967,computers.notebook
65,2053013553375346967,
66,2053013553400512793,apparel.pajamas
67,2053013553425678619,apparel.costume
68,2053013553459233053,apparel.shirt
69,2053013553459233053,
70,2053013553484398879,appliances.kitchen.toster
71,2053013553484398879,
72,2053013553526341921,appliances.ironing_board
73,2053013553526341921,
74,2053013553559896355,
75,2053013553585062181,electronics.audio.acoustic
76,2053013553610228007,auto.accessories.radar
77,2053013553635393833,appliances.personal.massager
78,2053013553668948267,apparel.costume
79,2053013553694114093,apparel.glove
80,2053013553727668527,apparel.shoes
81,2053013553761222961,apparel.shoes
82,2053013553786388787,apparel.shoes
83,2053013553819943221,accessories.bag
84,2053013553853497655,apparel.jeans
85,2053013553853497655,
86,2053013553887052089,apparel.shoes
87,2053013553887052089,
88,2053013553912217915,apparel.tshirt
89,2053013553912217915,
90,2053013553945772349,electronics.audio.subwoofer
91,2053013553970938175,auto.accessories.player
92,2053013554004492609,computers.components.cooler
93,2053013554012881218,computers.components.cpu
94,2053013554071601477,
95,2053013554096767303,computers.components.power_supply
96,2053013554121933129,computers.components.cpu
97,2053013554155487563,computers.components.motherboard
98,2053013554189041997,computers.components.memory
99,2053013554222596431,computers.components.hdd
100,2053013554247762257,computers.components.videocards
101,2053013554298093907,
102,2053013554323259733,electronics.camera.video
103,2053013554415534427,electronics.video.tv
104,2053013554449088861,furniture.living_room.chair
105,2053013554449088861,
106,2053013554474254687,electronics.audio.microphone
107,2053013554499420513,electronics.audio.acoustic
108,2053013554524586339,kids.dolls
109,2053013554524586339,
110,2053013554566529381,computers.desktop
111,2053013554591695207,electronics.audio.acoustic
112,2053013554625249641,electronics.camera.video
113,2053013554625249641,
114,2053013554658804075,electronics.audio.headphone
115,2053013554692358509,furniture.bathroom.bath
116,2053013554692358509,
117,2053013554725912943,appliances.kitchen.coffee_grinder
118,2053013554751078769,appliances.kitchen.grill
119,2053013554776244595,appliances.kitchen.microwave
120,2053013554834964853,appliances.kitchen.kettle
121,2053013554960793975,appliances.kitchen.toster
122,2053013554994348409,
123,2053013555036291451,appliances.personal.scales
124,2053013555069845885,appliances.kitchen.mixer
125,2053013555095011711,appliances.kitchen.coffee_machine
126,2053013555120177537,appliances.kitchen.steam_cooker
127,2053013555178897795,electronics.tablet
128,2053013555178897795,
129,2053013555220840837,appliances.kitchen.juicer
130,2053013555262783879,appliances.kitchen.blender
131,2053013555287949705,computers.peripherals.printer
132,2053013555287949705,
133,2053013555321504139,appliances.kitchen.meat_grinder
134,2053013555355058573,
135,2053013555380224399,apparel.shoes
136,2053013555380224399,
137,2053013555397001616,appliances.kitchen.mixer
138,2053013555413778833,electronics.telephone
139,2053013555413778833,
140,2053013555438944659,
141,2053013555464110485,furniture.bedroom.bed
142,2053013555497664919,electronics.telephone
143,2053013555531219353,electronics.telephone
144,2053013555573162395,electronics.telephone
145,2053013555631882655,electronics.smartphone
146,2053013555657048481,apparel.underwear
147,2053013555657048481,
148,2053013555690602915,apparel.costume
149,2053013555724157349,sport.bicycle
150,2053013555757711783,kids.skates
151,2053013555782877609,sport.bicycle
152,2053013555816432043,kids.skates
153,2053013555858375085,
154,2053013555883540911,apparel.underwear
155,2053013555942261171,sport.trainer
156,2053013555984204213,
157,2053013556009370039,construction.tools.saw
158,2053013556042924473,
159,2053013556110033341,
160,2053013556126810558,accessories.bag
161,2053013556135199167,construction.tools.welding
162,2053013556168753601,apparel.shirt
163,2053013556168753601,
164,2053013556202308035,construction.tools.saw
165,2053013556227473861,construction.tools.saw
166,2053013556252639687,construction.tools.drill
167,2053013556277805513,furniture.bathroom.bath
168,2053013556277805513,
169,2053013556311359947,construction.tools.drill
170,2053013556344914381,kids.fmcg.diapers
171,2053013556361691598,
172,2053013556403634639,
173,2053013556437189073,
174,2053013556462354899,apparel.shoes
175,2053013556462354899,
176,2053013556487520725,furniture.kitchen.chair
177,2053013556521075159,apparel.shoes
178,2053013556521075159,
179,2053013556546240985,furniture.kitchen.chair
180,2053013556546240985,
181,2053013556579795419,sport.trainer
182,2053013556579795419,
183,2053013556630127071,construction.tools.drill
184,2053013556655292897,apparel.shoes
185,2053013556722401763,kids.skates
186,2053013556755956197,appliances.kitchen.refrigerators
187,2053013556789510631,appliances.environment.vacuum
188,2053013556823065065,construction.tools.light
189,2053013556856619499,accessories.bag
190,2053013556881785325,furniture.living_room.chair
191,2053013556915339759,sport.ski
192,2053013556965671411,apparel.shoes
193,2053013556990837237,furniture.kitchen.table
194,2053013557024391671,apparel.shoes.moccasins
195,2053013557024391671,
196,2053013557066334713,
197,2053013557099889147,furniture.bedroom.bed
198,2053013557133443581,furniture.living_room.cabinet
199,2053013557166998015,
200,2053013557192163841,furniture.bedroom.bed
201,2053013557225718275,apparel.shoes.sandals
202,2053013557225718275,
203,2053013557234106884,sport.snowboard
204,2053013557343158789,construction.components.faucet
205,2053013557385101831,appliances.kitchen.dishwasher
206,2053013557385101831,
207,2053013557418656265,furniture.bathroom.toilet
208,2053013557452210699,electronics.clocks
209,2053013557452210699,
210,2053013557477376525,furniture.bathroom.bath
211,2053013557510930959,apparel.shirt
212,2053013557510930959,
213,2053013557544485393,sport.tennis
214,2053013557544485393,
215,2053013557569651219,auto.accessories.winch
216,2053013557569651219,
217,2053013557603205653,electronics.audio.music_tools.piano
218,2053013557645148695,electronics.audio.microphone
219,2053013557645148695,
220,2053013557670314521,electronics.audio.acoustic
221,2053013557695480347,appliances.environment.air_conditioner
