product_sk,product_id,category_sk,brand,last_known_price
1,1000978,145,samsung,300.91
2,1000978,496,samsung,231.64
3,1001588,145,meizu,127.6
4,1001588,1064,meizu,126.83
5,1001605,145,apple,514.79
6,1001606,145,apple,363.07
7,1001618,145,apple,706.42
8,1001618,1064,apple,666.6
9,1001619,1064,apple,706.42
10,1002042,145,samsung,77.14
11,1002062,145,samsung,114.41
12,1002098,145,samsung,370.64
13,1002098,1064,samsung,283.12
14,1002099,145,samsung,414.53
15,1002100,145,samsung,370.64
16,1002100,1064,samsung,283.12
17,1002101,145,samsung,370.64
18,1002101,1064,samsung,283.12
19,1002102,145,samsung,370.41
20,1002103,145,samsung,370.41
21,1002225,145,philips,87.52
22,1002225,1064,philips,87.52
23,1002266,145,samsung,279.55
24,1002308,145,lg,205.9
25,1002310,145,lg,205.9
26,1002367,145,meizu,205.07
27,1002367,1064,meizu,203.96
28,1002396,145,sony,275.09
29,1002398,145,sony,251.82
30,1002415,145,sony,293.11
31,1002444,145,htc,128.68
32,1002460,145,micromax,66.42
33,1002482,145,meizu,127.66
34,1002482,1064,meizu,177.65
35,1002484,145,meizu,179.2
36,1002484,1064,meizu,178.14
37,1002494,145,sony,306.65
38,1002497,145,huawei,95.17
39,1002522,145,apple,720.71
40,1002524,145,apple,532.83
41,1002524,1064,apple,540.04
42,1002525,145,apple,720.46
43,1002525,1064,apple,563.72
44,1002527,145,apple,720.43
45,1002527,1064,apple,563.72
46,1002528,145,apple,643.23
47,1002528,1064,apple,643.23
48,1002531,145,apple,720.32
49,1002531,1064,apple,720.71
50,1002532,145,apple,643.23
51,1002532,1064,apple,643.23
52,1002533,145,apple,801.25
53,1002535,145,apple,643.23
54,1002535,1064,apple,643.23
55,1002536,145,apple,591.75
56,1002538,145,apple,591.75
57,1002538,1064,apple,591.75
58,1002539,145,apple,602.74
59,1002540,145,apple,462.79
60,1002540,1064,apple,445.98
61,1002541,145,apple,584.06
62,1002542,145,apple,463.05
63,1002542,1064,apple,450.44
64,1002544,145,apple,457.91
65,1002544,1064,apple,445.95
66,1002545,145,apple,591.75
67,1002545,1064,apple,591.75
68,1002546,145,apple,1012.64
69,1002547,145,apple,461.43
70,1002547,1064,apple,445.98
71,1002548,145,apple,591.75
72,1002548,1064,apple,591.75
73,1002549,145,apple,563.18
74,1002550,145,blackberry,354.98
75,1002628,145,apple,411.83
76,1002629,145,apple,360.11
77,1002633,145,apple,360.11
78,1002634,145,apple,384.54
79,1002662,145,xiaomi,203.09
80,1002666,145,honor,231.64
81,1002678,145,meizu,230.68
82,1002678,1064,meizu,229.7
83,1002724,145,sony,546.13
84,1002757,145,samsung,168.69
85,1002786,145,apple,597.64
86,1002796,145,apple,597.64
87,1002808,145,bq,73.31
88,1002827,145,leeco,345.36
89,1002827,1064,leeco,372.47
90,1002876,145,samsung,192.77
91,1002877,145,,0.0
92,1002881,145,xiaomi,253.72
93,1002881,1064,xiaomi,253.13
94,1002883,145,xiaomi,155.71
95,1002902,145,oneplus,599.98
96,1002905,145,samsung,257.38
97,1002906,145,samsung,257.38
98,1002923,145,huawei,149.3
99,1002929,145,micromax,84.4
100,1002929,496,micromax,83.93
101,1002974,145,huawei,149.3
102,1002987,145,xiaomi,155.73
103,1002987,1064,xiaomi,155.73
104,1002995,145,apple,334.11
105,1002995,1064,apple,282.86
106,1002996,145,xiaomi,155.73
107,1003001,145,meizu,90.07
108,1003013,145,huawei,179.9
109,1003013,1064,huawei,179.9
110,1003014,145,lg,112.95
111,1003015,145,lg,137.86
112,1003039,145,samsung,566.27
113,1003043,145,bravis,77.2
114,1003048,145,samsung,452.75
115,1003049,145,samsung,566.27
116,1003050,145,samsung,463.05
117,1003051,145,samsung,617.49
118,1003052,145,samsung,617.49
119,1003066,145,apple,205.64
120,1003073,145,meizu,150.45
121,1003073,496,meizu,149.68
122,1003074,145,meizu,134.37
123,1003074,1064,meizu,133.76
124,1003078,145,huawei,344.17
125,1003080,145,huawei,180.16
126,1003096,145,meizu,307.78
127,1003096,1064,meizu,307.01
128,1003102,145,oppo,180.16
129,1003105,145,leagoo,149.71
